id,susceptibility_BV,infectivity_BV,susceptibility_EV,infectivity_EV,susceptibility,infectivity,susceptibility_ln,infectivity_ln,IndexCase_0,group,Tinf,frailties,Epi.type,I,R,eRates,V1
1547,0.374340454625509,6.73661594993369e-07,0,0,0.374340454625509,6.73661594993369e-07,1.45403209815191,1.00000067366182,1,77,1.16338547997166,lognormal,SI,1,,0,10.0000016175024
653,-0.0448933605448553,-1.02595716362462e-07,0,0,-0.0448933605448553,-1.02595716362462e-07,0.956099434319665,0.999999897404289,1,78,1.01473677624443,lognormal,SI,1,,0,10.0000010157576
726,0.0997944262418032,7.97245479794407e-08,0,0,0.0997944262418032,7.97245479794407e-08,1.10494374728755,1.00000007972455,1,78,0.46845905571005,lognormal,SI,1,,0,10.0000010157576
934,0.223019129933991,1.3088808901386e-07,0,0,0.223019129933991,1.3088808901386e-07,1.24984448294975,1.0000001308881,1,78,1.33982281161645,lognormal,SI,1,,0,10.0000010157576
961,-0.862438237260089,-2.26357907689847e-07,0,0,-0.862438237260089,-2.26357907689847e-07,0.422131569589384,0.999999773642118,1,78,1.25673183141821,lognormal,SI,1,,0,10.0000010157576
1002,-0.572532674726087,-3.20855619721107e-07,0,0,-0.572532674726087,-3.20855619721107e-07,0.564094958948583,0.999999679144432,1,78,0.58748782830485,lognormal,SI,1,,0,10.0000010157576
1144,0.0652512646513244,1.10116951354429e-06,0,0,0.0652512646513244,1.10116951354429e-06,1.06742719741415,1.00000110117012,1,78,0.743288455568101,lognormal,SI,1,,0,10.0000010157576
1251,0.294271690890454,-1.44175032875576e-07,0,0,0.294271690890454,-1.44175032875576e-07,1.34214850365756,0.999999855824978,1,78,1.75048237318236,lognormal,SI,1,,0,10.0000010157576
1299,-0.182597813251114,7.73426095861808e-07,0,0,-0.182597813251114,7.73426095861808e-07,0.833103151415118,1.00000077342639,1,78,0.1655475133073,lognormal,SI,1,,0,10.0000010157576
1376,-0.185582500063925,-2.03762041170487e-07,0,0,-0.185582500063925,-2.03762041170487e-07,0.83062030652575,0.99999979623798,0,78,0,lognormal,SI,1,,0,10.0000010157576
1448,0.132191378720324,-7.1705375953274e-08,0,0,0.132191378720324,-7.1705375953274e-08,1.14132672401547,0.999999928294627,1,78,1.67089423469682,lognormal,SI,1,,0,10.0000010157576
701,0.0924944440337534,-6.31528062922805e-07,0,0,0.0924944440337534,-6.31528062922805e-07,1.09690704716484,0.999999368472136,1,79,2.09944358250822,lognormal,SI,1,,0,10.0000006259071
735,-0.260488091603895,1.40415390547586e-07,0,0,-0.260488091603895,1.40415390547586e-07,0.770675333828551,1.0000001404154,1,79,2.13953202802185,lognormal,SI,1,,0,10.0000006259071
801,0.314041764210968,1.28603247332979e-08,0,0,0.314041764210968,1.28603247332979e-08,1.36894690834098,1.00000001286032,1,79,2.04451539767433,lognormal,SI,1,,0,10.0000006259071
1069,-0.107454188329554,-5.9367033448014e-08,0,0,-0.107454188329554,-5.9367033448014e-08,0.8981176657789,0.999999940632968,1,79,2.6806755759,lognormal,SI,1,,0,10.0000006259071
1172,-0.116963465095124,-5.57084634678617e-07,0,0,-0.116963465095124,-5.57084634678617e-07,0.889617694667539,0.99999944291552,1,79,2.91401259073631,lognormal,SI,1,,0,10.0000006259071
1231,0.662659656213352,6.95571637313799e-07,0,0,0.662659656213352,6.95571637313799e-07,1.93994506606572,1.00000069557188,1,79,2.24748395804224,lognormal,SI,1,,0,10.0000006259071
1241,-0.122047522183274,2.73355665150275e-07,0,0,-0.122047522183274,2.73355665150275e-07,0.885106305319109,1.0000002733557,1,79,0.302306913189674,lognormal,SI,1,,0,10.0000006259071
1275,-0.296120833464743,-1.12057045842399e-06,0,0,-0.296120833464743,-1.12057045842399e-06,0.743697559037919,0.999998879430169,1,79,1.69004822256128,lognormal,SI,1,,0,10.0000006259071
1307,0.0706932004718593,1.30544517087126e-06,0,0,0.0706932004718593,1.30544517087126e-06,1.0732519021756,1.00000130544602,1,79,3.76872542936382,lognormal,SI,1,,0,10.0000006259071
1377,0.17313487488599,5.66806846494548e-07,0,0,0.17313487488599,5.66806846494548e-07,1.18902646407837,1.00000056680701,0,79,0,lognormal,SI,1,,0,10.0000006259071
604,-0.07014719785703,-8.99069936802276e-07,0,0,-0.07014719785703,-8.99069936802276e-07,0.93225658363444,0.999999100930467,1,80,0.0644611190344288,lognormal,SI,1,,0,9.99999883947185
610,0.00291798350677244,5.27937023151946e-08,0,0,0.00291798350677244,5.27937023151946e-08,1.00292224496459,1.0000000527937,1,80,1.72974082719254,lognormal,SI,1,,0,9.99999883947185
1026,0.304184725637602,2.43049437447248e-07,0,0,0.304184725637602,2.43049437447248e-07,1.35551943215491,1.00000024304947,1,80,1.26638381444922,lognormal,SI,1,,0,9.99999883947185
1028,0.147345388135907,-7.14421465588555e-07,0,0,0.147345388135907,-7.14421465588555e-07,1.15875411384556,0.99999928557879,1,80,1.96688973306735,lognormal,SI,1,,0,9.99999883947185
1279,-0.477099072336887,1.79930029121966e-07,0,0,-0.477099072336887,1.79930029121966e-07,0.620581043833493,1.00000017993005,1,80,2.22761395437281,lognormal,SI,1,,0,9.99999883947185
1371,0.290291222372812,-2.79795070839426e-07,0,0,0.290291222372812,-2.79795070839426e-07,1.33681674228665,0.999999720204968,1,80,0.241250288280853,lognormal,SI,1,,0,9.99999883947185
1387,0.249805673084788,5.14110421685882e-07,0,0,0.249805673084788,5.14110421685882e-07,1.28377592023219,1.00000051411055,0,80,0,lognormal,SI,1,,0,9.99999883947185
